0~3600,9072,152729
3600~7200,8471,180323
7200~10800,9846,198680
10800~14400,8950,185494
14400~18000,7922,174652
18000~21600,9040,196754
21600~25200,7831,179497
25200~28800,10610,224795
28800~32400,11936,233026
32400~36000,12958,245871
36000~39600,12178,248065
39600~43200,10922,232378
43200~46800,9674,198001
46800~50400,9270,196390
50400~54000,9714,199502
54000~57600,11073,207409
57600~61200,11026,206892
61200~64800,9084,168453
64800~68400,10836,204744
68400~72000,9074,167421
72000~75600,6242,131136
75600~79200,3328,70612.1
79200~82800,3821,82306.6
82800~86400,3442,59998.9

