收入,人数
0~100,305
100~200,229
200~300,208
300~400,102
400~500,93
500~600,98
600~700,51
700~800,70
800~900,165
900~1000,213
1000~1100,50
1100~1200,142
1200~1300,69
1300~1400,56
1400~1500,153
1500~1600,104
1600~1700,161
1700~1800,176
1800~1900,122
1900~2000,276
2000~2100,233
2100~2200,132
2200~2300,52
2300~2400,123
2400~2500,41
2500~2600,29
2600~2700,42
2700~2800,36
2800~2900,0
2900~3000,0
3000~3100,0
3100~3200,0
3200~3300,0
3300~3400,0
3400~3500,0
3500~3600,0
3600~3700,0
3700~3800,0
3800~3900,0
3900~4000,0
4000~4100,0
4100~4200,0
4200~4300,0
4300~4400,0
4400~4500,0
4500~4600,0
4600~4700,0
4700~4800,0
4800~4900,0
4900~5000,0
