0~3600,15046,272218
3600~7200,7461,163717
7200~10800,4987,96403.1
10800~14400,3465,71522.8
14400~18000,1151,21866.9
18000~21600,4129,78568.1
21600~25200,7927,143028
25200~28800,14460,270266
28800~32400,15519,295219
32400~36000,25696,468616
36000~39600,18729,355843
39600~43200,14633,318827
43200~46800,9139,181319
46800~50400,9067,198847
50400~54000,8203,164667
54000~57600,2470,59910.7
57600~61200,2605,45989.4
61200~64800,4874,165784
64800~68400,2549,64898.9
68400~72000,1569,35318.1
72000~75600,1299,27410.7
75600~79200,24061,499701
79200~82800,10860,226979
82800~86400,1961,84496.8
